         ns       /testbench/out_x          /testbench/out_z      
          delta                /testbench/out_y                   
          0  +0                  x            x            x 
       8210  +2            4805765      4326458     24391142 
       8230  +2            4787042      4398516     24214523 
       8250  +2            4771865      4473096     24040727 
       8270  +2            4760194      4550183     23869819 
       8290  +2            4751990      4629769     23701863 
       8310  +2            4747215      4711849     23536927 
       8330  +2            4745833      4796425     23375078 
       8350  +2            4747809      4883502     23216386 
       8370  +2            4753109      4973089     23060923 
       8390  +2            4761701      5065201     22908762 
       8410  +2            4773556      5159854     22759979 
       8430  +2            4788645      5257067     22614653 
       8450  +2            4806942      5356864     22472865 
       8470  +2            4828423      5459270     22334699 
       8490  +2            4853065      5564313     22200243 
       8510  +2            4880848      5672021     22069588 
       8530  +2            4911753      5782425     21942828 
       8550  +2            4945763      5895556     21820062 
       8570  +2            4982864      6011447     21701391 
       8590  +2            5023043      6130130     21586923 
       8610  +2            5066288      6251638     21476768 
       8630  +2            5112590      6376003     21371041 
       8650  +2            5161942      6503255     21269862 
       8670  +2            5214337      6633425     21173356 
       8690  +2            5269770      6766540     21081654 
       8710  +2            5328237      6902626     20994890 
       8730  +2            5389736      7041706     20913205 
       8750  +2            5454266      7183799     20836744 
       8770  +2            5521825      7328921     20765660 
       8790  +2            5592414      7477084     20700109 
       8810  +2            5666033      7628293     20640255 
       8830  +2            5742683      7782550     20586267 
       8850  +2            5822365      7939850     20538320 
       8870  +2            5905079      8100179     20496594 
       8890  +2            5990825      8263518     20461276 
       8910  +2            6079602      8429839     20432559 
       8930  +2            6171408      8599104     20410641 
       8950  +2            6266239      8771265     20395726 
       8970  +2            6364091      8946263     20388023 
       8990  +2            6464957      9124028     20387746 
       9010  +2            6568826      9304476     20395115 
       9030  +2            6675687      9487511     20410353 
       9050  +2            6785523      9673021     20433688 
       9070  +2            6898315      9860878     20465352 
       9090  +2            7014040     10050938     20505578 
       9110  +2            7132668     10243040     20554602 
       9130  +2            7254166     10437002     20612662 
       9150  +2            7378495     10632622     20679995 
       9170  +2            7505609     10829679     20756837 
       9190  +2            7635455     11027928     20843424 
       9210  +2            7767973     11227101     20939986 
       9230  +2            7903095     11426906     21046750 
       9250  +2            8040743     11627026     21163936 
       9270  +2            8180832     11827117     21291755 
       9290  +2            8323265     12026808     21430408 
       9310  +2            8467934     12225701     21580084 
       9330  +2            8614721     12423369     21740957 
       9350  +2            8763496     12619357     21913183 
       9370  +2            8914115     12813179     22096899 
       9390  +2            9066422     13004322     22292218 
       9410  +2            9220246     13192242     22499229 
       9430  +2            9375402     13376368     22717990 
       9450  +2            9531689     13556100     22948528 
       9470  +2            9688892     13730811     23190835 
       9490  +2            9846779     13899849     23444862 
       9510  +2           10005102     14062537     23710520 
       9530  +2           10163595     14218176     23987673 
       9550  +2           10321977     14366049     24276134 
       9570  +2           10479948     14505423     24575666 
       9590  +2           10637193     14635550     24885973 
       9610  +2           10793378     14755675     25206701 
       9630  +2           10948155     14865038     25537434 
       9650  +2           11101158     14962880     25877690 
       9670  +2           11252006     15048447     26226921 
       9690  +2           11400304     15120998     26584509 
       9710  +2           11545643     15179810     26949767 
       9730  +2           11687602     15224185     27321937 
       9750  +2           11825749     15253457     27700190 
       9770  +2           11959643     15267000     28083627 
       9790  +2           12088836     15264235     28471282 
       9810  +2           12212875     15244637     28862122 
       9830  +2           12331303     15207745     29255052 
       9850  +2           12443664     15153166     29648920 
       9870  +2           12549503     15080586     30042521 
       9890  +2           12648373     14989775     30434603 
       9910  +2           12739834     14880593     30823877 
       9930  +2           12823457     14752996     31209021 
       9950  +2           12898829     14607043     31588693 
       9970  +2           12965556     14442897     31961540 
       9990  +2           13023264     14260830     32326205 
      10010  +2           13071606     14061223     32681344 
      10030  +2           13110262     13844567     33025632 
      10050  +2           13138945     13611465     33357777 
      10070  +2           13157402     13362624     33676532 
      10090  +2           13165418     13098857     33980705 
      10110  +2           13162817     12821073     34269172 
      10130  +2           13149467     12530274     34540886 
      10150  +2           13125279     12227545     34794887 
      10170  +2           13090211     11914046     35030311 
      10190  +2           13044267     11591001     35246398 
      10210  +2           12987498     11259688     35442497 
      10230  +2           12920005     10921426     35618072 
      10250  +2           12841935     10577564     35772707 
      10270  +2           12753483     10229468     35906104 
      10290  +2           12654888      9878507     36018088 
      10310  +2           12546435      9526041     36108603 
      10330  +2           12428450      9173412     36177710 
      10350  +2           12301300      8821927     36225584 
      10370  +2           12165386      8472850     36252507 
      10390  +2           12021146      8127393     36258862 
      10410  +2           11869046      7786704     36245128 
      10430  +2           11709579      7451862     36211868 
      10450  +2           11543261      7123869     36159723 
      10470  +2           11370628      6803645     36089399 
      10490  +2           11192230      6492023     36001662 
      10510  +2           11008628      6189749     35897325 
      10530  +2           10820390      5897477     35777238 
      10550  +2           10628088      5615772     35642280 
      10570  +2           10432294      5345107     35493349 
      10590  +2           10233575      5085870     35331355 
      10610  +2           10032492      4838362     35157208 
      10630  +2            9829596      4602802     34971815 
